"results__fsq_id","results__categories__id","results__categories__name","results__categories__icon__prefix","results__categories__icon__suffix","results__chains__id","results__chains__name","results__distance","results__geocodes__|","results__geocodes__|__latitude","results__geocodes__|__longitude","results__link","results__location__address","results__location__address_extended","results__location__census_block","results__location__country","results__location__cross_street","results__location__dma","results__location__formatted_address","results__location__locality","results__location__postcode","results__location__region","results__name","results__related_places__parent__fsq_id","results__related_places__parent__name","results__related_places__children__fsq_id","results__related_places__children__name","results__timezone","context__geo_bounds__circle__center__latitude","context__geo_bounds__circle__center__longitude","context__geo_bounds__circle__radius"
"51a15cad8bbd0c66417d9e50","19002","Bike Rental","https://ss3.4sqi.net/img/categories_v2/shops/bikeshop_",".png","67cfc887-fd56-4837-b907-b69221ff8b5b","Citi Bike","603","drop_off","40.711449","-74.000046","/v3/places/51a15cad8bbd0c66417d9e50","St James Pl","","360610025004001","US","","New York","St James Pl, New York, NY 10038","New York","10038","NY","Citi Bike - St James Pl & Pearl St","","","","","America/New_York","40.7143528","-74.00597309999999","22000"
"","","","","","","","","main","40.711242","-73.999837","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","roof","40.711242","-73.999837","","","","","","","","","","","","","","","","","","","",""
"51bcd723498eecb51dd996bc","18021","Gym and Studio","https://ss3.4sqi.net/img/categories_v2/building/gym_",".png","","","753","main","40.715902","-74.014861","/v3/places/51bcd723498eecb51dd996bc","212 N End Ave","","360610317033005","US","Murray Street","New York","212 N End Ave (Murray Street), New York, NY 10282","New York","10282","NY","Asphalt Green Battery Park City","","","","","America/New_York","","",""
"","","","","","","","","roof","40.715902","-74.014861","","","","","","","","","","","","","","","","","","","",""
"58ab3a6a53f5bb4b6b267ad1","17069","Grocery Store / Supermarket","https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_",".png","","","911","drop_off","40.70624","-74.007762","/v3/places/58ab3a6a53f5bb4b6b267ad1","70 Pine St","","360610007004002","US","","New York","70 Pine St, New York, NY 10005","New York","10005","NY","City Acres Market","","","59614fc15c68383973e85d14","Artichoke Basille's Pizza","America/New_York","","",""
"","","","","","","","","main","40.706391","-74.007675","","","","","","","","","","","","","","","5f8dc5614eccb52bc80f5e81","Brooklyn Beef N’ Cheese","","","",""
"","","","","","","","","roof","40.706391","-74.007675","","","","","","","","","","","","","","","59626c9fc9a5176d67447feb","JuiceBrothers","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","59614f6358aa7f4a58639dda","Vanessa's Dumpling House","","","",""
"5748d802498eccc4228c7fd1","13065","Restaurant","https://ss3.4sqi.net/img/categories_v2/food/default_",".png","","","959","main","40.721302","-74.012675","/v3/places/5748d802498eccc4228c7fd1","233 West Street","","360610039002001","US","","New York","233 West Street, New York, NY 10013","New York","10013","NY","City Vineyard - P","4ba0e528f964a5205c8537e3","Pier 26 - Hudson River Park","","","America/New_York","","",""
