"businesses__id","businesses__alias","businesses__name","businesses__image_url","businesses__is_closed","businesses__url","businesses__review_count","businesses__categories__alias","businesses__categories__title","businesses__rating","businesses__coordinates__latitude","businesses__coordinates__longitude","businesses__transactions__001","businesses__transactions__002","businesses__price","businesses__location__address1","businesses__location__address2","businesses__location__address3","businesses__location__city","businesses__location__zip_code","businesses__location__country","businesses__location__state","businesses__location__display_address__001","businesses__location__display_address__002","businesses__phone","businesses__display_phone","total"
"NjDI7uiks5GO-GyeJ4L1zg","abracadabra-magic-deli-brooklyn","Abracadabra Magic Deli","https://s3-media1.fl.yelpcdn.com/bphoto/Tg5rqeS4Td7XWgbpjyoGXg/o.jpg","False","https://www.yelp.com/biz/abracadabra-magic-deli-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","52","delis","Delis","4.5","40.70359","-73.92727","pickup","delivery","","190 Knickerbocker Ave","","null","Brooklyn","11237","US","NY","190 Knickerbocker Ave","Brooklyn, NY 11237","+13474138644","(347) 413-8644","79"
"","","","","","","","turkish","Turkish","","","","","","","","","","","","","","","","","",""
"j_x5CbFjKfPcvakcWCE_hA","kings-kolache-brooklyn","Kings Kolache","https://s3-media4.fl.yelpcdn.com/bphoto/XbqeB_RtrH5UsJYJg-AgYA/o.jpg","False","https://www.yelp.com/biz/kings-kolache-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","40","bakeries","Bakeries","5.0","40.708076","-73.9205073","pickup","delivery","$","321 Starr St","","null","Brooklyn","11237","US","NY","321 Starr St","Brooklyn, NY 11237","+18456143226","(845) 614-3226",""
"","","","","","","","tex-mex","Tex-Mex","","","","","","","","","","","","","","","","","",""
"","","","","","","","coffee","Coffee & Tea","","","","","","","","","","","","","","","","","",""
"-zzMDQkhZzrnBUdrfpG3Ng","ange-noir-cafe-brooklyn","Ange Noir Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/MJXFQiupyHgYXi56VD7k7Q/o.jpg","False","https://www.yelp.com/biz/ange-noir-cafe-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","137","coffee","Coffee & Tea","4.0","40.70426","-73.93419","pickup","delivery","$","247 Varet St","null","","Brooklyn","11206","US","NY","247 Varet St","Brooklyn, NY 11206","+17183661520","(718) 366-1520",""
"","","","","","","","breakfast_brunch","Breakfast & Brunch","","","","","","","","","","","","","","","","","",""
"","","","","","","","bagels","Bagels","","","","","","","","","","","","","","","","","",""
"4C9uO4dRUFW-QPLDfIqibA","montazo-brooklyn","Montazo","https://s3-media1.fl.yelpcdn.com/bphoto/Nx0RlldcoNwfFxMWrm7FUA/o.jpg","False","https://www.yelp.com/biz/montazo-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","24","spanish","Spanish","3.0","40.7012786865234","-73.9144515991211","pickup","delivery","$$","216 Wyckoff Ave","","","Brooklyn","11237","US","NY","216 Wyckoff Ave","Brooklyn, NY 11237","+17184973978","(718) 497-3978",""
"FGIXGWJ3ZV-wRbziBneGjw","merindas-deli-and-grill-brooklyn","Merinda's Deli & Grill","https://s3-media3.fl.yelpcdn.com/bphoto/QI_ptfZsaWZQY8-Nb3D1MQ/o.jpg","False","https://www.yelp.com/biz/merindas-deli-and-grill-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","33","delis","Delis","3.0","40.6994087","-73.9138464","pickup","delivery","","1543 Myrtle Ave","null","","Brooklyn","11237","US","NY","1543 Myrtle Ave","Brooklyn, NY 11237","+17185766880","(718) 576-6880",""
"","","","","","","","burgers","Burgers","","","","","","","","","","","","","","","","","",""
"","","","","","","","tradamerican","American (Traditional)","","","","","","","","","","","","","","","","","",""
"z3X0amNJsnLwgYUXAXzTtw","the-bushwick-diner-brooklyn","The Bushwick Diner","https://s3-media4.fl.yelpcdn.com/bphoto/M1F33egpQd_EZ3SI7WXLww/o.jpg","False","https://www.yelp.com/biz/the-bushwick-diner-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","137","bagels","Bagels","2.5","40.70059","-73.91253","pickup","delivery","$$","299 Wyckoff Ave","null","","Brooklyn","11237","US","NY","299 Wyckoff Ave","Brooklyn, NY 11237","+17185522455","(718) 552-2455",""
"","","","","","","","diners","Diners","","","","","","","","","","","","","","","","","",""
"","","","","","","","breakfast_brunch","Breakfast & Brunch","","","","","","","","","","","","","","","","","",""
"_BFY0UUh1HjLPNjQwyLSxg","stay-fresh-grill-and-deli-brooklyn","Stay Fresh Grill & Deli","https://s3-media4.fl.yelpcdn.com/bphoto/o98IskgKS3pxllLMotKWrg/o.jpg","False","https://www.yelp.com/biz/stay-fresh-grill-and-deli-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","168","salad","Salad","2.5","40.698232","-73.937032","pickup","delivery","$","889 Broadway","null","","Brooklyn","11206","US","NY","889 Broadway","Brooklyn, NY 11206","+17185133247","(718) 513-3247",""
"","","","","","","","delis","Delis","","","","","","","","","","","","","","","","","",""
"","","","","","","","juicebars","Juice Bars & Smoothies","","","","","","","","","","","","","","","","","",""
"cW5nAcFqaU3VqdPzk2YThw","pie-corps-brooklyn","Pie Corps","https://s3-media1.fl.yelpcdn.com/bphoto/dK5Ox3UA-v2Gxyt5qsba6A/o.jpg","False","https://www.yelp.com/biz/pie-corps-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","118","desserts","Desserts","4.0","40.72321","-73.94197","pickup","delivery","$$$","77 Driggs Ave","","","Brooklyn","11222","US","NY","77 Driggs Ave","Brooklyn, NY 11222","+13477991669","(347) 799-1669",""
"","","","","","","","bakeries","Bakeries","","","","","","","","","","","","","","","","","",""
"","","","","","","","cafes","Cafes","","","","","","","","","","","","","","","","","",""
"Ay38C7i2ziGjjoG9Q6Bo0A","grand-morelos-brooklyn-2","Grand Morelos","https://s3-media2.fl.yelpcdn.com/bphoto/-JtXg0wuidwJDGkjBqPOoA/o.jpg","False","https://www.yelp.com/biz/grand-morelos-brooklyn-2?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","220","bakeries","Bakeries","3.5","40.71188","-73.94367","pickup","delivery","$","727 Grand St","","","Brooklyn","11211","US","NY","727 Grand St","Brooklyn, NY 11211","+17182189441","(718) 218-9441",""
"","","","","","","","mexican","Mexican","","","","","","","","","","","","","","","","","",""
"","","","","","","","diners","Diners","","","","","","","","","","","","","","","","","",""
"WspSyFD3a2gxqzPiA2Obfg","la-nortena-ii-brooklyn","La Nortena II","https://s3-media3.fl.yelpcdn.com/bphoto/bulzmnY2pO5KTkFbb8aiLQ/o.jpg","False","https://www.yelp.com/biz/la-nortena-ii-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","41","mexican","Mexican","1.5","40.71112","-73.94406","pickup","delivery","$","255 Graham Ave","null","null","Brooklyn","11206","US","NY","255 Graham Ave","Brooklyn, NY 11206","+17183883045","(718) 388-3045",""
"IqD-JuRkP4_WMypm9kIkiA","ro-s-diner-brooklyn","Ro’s Diner","https://s3-media3.fl.yelpcdn.com/bphoto/ozTGQt4RXBmMz1JJRy1lgw/o.jpg","False","https://www.yelp.com/biz/ro-s-diner-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","1","diners","Diners","5.0","40.708458","-73.940886","pickup","delivery","","197 Meserole St","null","","Brooklyn","11206","US","NY","197 Meserole St","Brooklyn, NY 11206","+19179091665","(917) 909-1665",""
