"businesses__id","businesses__alias","businesses__name","businesses__image_url","businesses__is_closed","businesses__url","businesses__review_count","businesses__categories__alias","businesses__categories__title","businesses__rating","businesses__coordinates__latitude","businesses__coordinates__longitude","businesses__transactions__001","businesses__transactions__002","businesses__price","businesses__location__address1","businesses__location__address2","businesses__location__address3","businesses__location__city","businesses__location__zip_code","businesses__location__country","businesses__location__state","businesses__location__display_address__001","businesses__location__display_address__002","businesses__phone","businesses__display_phone","total"
"DFFNe30NcyL1ZhDxos_yyA","bk-cafe-brooklyn","BK Cafe","https://s3-media3.fl.yelpcdn.com/bphoto/X1axkRJP0yjZdNfxuLrZ5g/o.jpg","False","https://www.yelp.com/biz/bk-cafe-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","1","thai","Thai","5.0","40.70177316341405","-73.9242596","delivery","pickup","","247 Suydam St","null","","Brooklyn","11237","US","NY","247 Suydam St","Brooklyn, NY 11237","+17189758085","(718) 975-8085","79"
"03icxNONL86QOeZQLsyrnA","semkeh-brooklyn","Semkeh","https://s3-media4.fl.yelpcdn.com/bphoto/tI0Ke72s8wWnpC3ssyrDkA/o.jpg","False","https://www.yelp.com/biz/semkeh-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","45","lebanese","Lebanese","4.5","40.7057062","-73.932148","delivery","pickup","","53 Morgan Ave","null","","Brooklyn","11237","US","NY","53 Morgan Ave","Brooklyn, NY 11237","+13475992889","(347) 599-2889",""
"","","","","","","","falafel","Falafel","","","","","","","","","","","","","","","","","",""
"IuMvrvXTTZm4NQYO1O1dbg","kuma-nyc-brooklyn-2","Kuma NYC","https://s3-media1.fl.yelpcdn.com/bphoto/s5SvRV7ZeCjeV4o_f2255Q/o.jpg","False","https://www.yelp.com/biz/kuma-nyc-brooklyn-2?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","60","poke","Poke","4.0","40.699183","-73.91304","delivery","pickup","$$","1520 Myrtle Ave","","null","Brooklyn","11237","US","NY","1520 Myrtle Ave","Brooklyn, NY 11237","+17183663790","(718) 366-3790",""
"","","","","","","","asianfusion","Asian Fusion","","","","","","","","","","","","","","","","","",""
"","","","","","","","ramen","Ramen","","","","","","","","","","","","","","","","","",""
"hOLv0a65RSb5QvFd0FrYjw","taqueria-santa-fe-brooklyn","Taqueria Santa Fe","https://s3-media3.fl.yelpcdn.com/bphoto/OjSPCx-8Yhea94DJ8utdNA/o.jpg","False","https://www.yelp.com/biz/taqueria-santa-fe-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","134","mexican","Mexican","4.5","40.700351","-73.920546","delivery","pickup","$","214 Stanhope St","null","","Brooklyn","11237","US","NY","214 Stanhope St","Brooklyn, NY 11237","+17184555012","(718) 455-5012",""
"q6FcRtW3ZoQ-hynSCSa8Ig","arepera-guacuco-bushwick-brooklyn","Arepera Guacuco Bushwick","https://s3-media2.fl.yelpcdn.com/bphoto/5FZXgDM5mepuR5LbxFod_w/o.jpg","False","https://www.yelp.com/biz/arepera-guacuco-bushwick-brooklyn?adjust_creative=nyzI_VHJj-t-_qVYe0AHfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_transactions_search_delivery&utm_source=nyzI_VHJj-t-_qVYe0AHfw","581","salad","Salad","4.0","40.704667","-73.924583","delivery","pickup","$$","44 Irving Ave","","","Brooklyn","11237","US","NY","44 Irving Ave","Brooklyn, NY 11237","+13473053300","(347) 305-3300",""
"","","","","","","","empanadas","Empanadas","","","","","","","","","","","","","","","","","",""
"","","","","","","","venezuelan","Venezuelan","","","","","","","","","","","","","","","","","",""
